policy,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
union,2013-07-05,2013-07-08,12.846272087441278,26245.178141877394,26245.178141877394,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,12.846272087441278,12.846272087441278,0.0,0.0,0.0,0.0,False,-0.0006661017408804426,-17.493611375011824,-0.36240864603026035
union,2013-07-08,2013-07-09,12.647206687843411,25838.483745342106,25838.483745342106,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,12.647206687843411,12.647206687843411,0.0,0.0,0.0,0.0,False,-0.015495966319480137,-406.6943965352875,-0.3722887401769671
union,2013-07-09,2013-07-10,12.830679355373176,26213.321893772078,26213.321893772078,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,12.830679355373176,12.830679355373176,0.0,0.0,0.0,0.0,False,0.014506971543852387,374.8381484299716,-0.3631825507929587
union,2013-07-10,2013-07-11,12.933117514592032,26422.60500088089,26422.60500088089,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,12.933117514592032,12.933117514592032,0.0,0.0,0.0,0.0,False,0.007983845311819726,209.28310710881124,-0.35809829878662214
union,2013-07-11,2013-07-12,13.076834329443464,26716.221186345814,26716.221186345814,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.076834329443464,13.076834329443464,0.0,0.0,0.0,0.0,False,0.011112310290947391,293.61618546492537,-0.3509652879064521
union,2013-07-12,2013-07-15,12.996104591124286,26551.288795912846,26551.288795912846,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,12.996104591124286,12.996104591124286,0.0,0.0,0.0,0.0,False,-0.00617349247419996,-164.93239043296853,-0.35497209881705616
union,2013-07-15,2013-07-16,13.042278763078997,26645.623507201562,26645.623507201562,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.042278763078997,13.042278763078997,0.0,0.0,0.0,0.0,False,0.0035529240035698795,94.33471128871679,-0.35268036370397093
union,2013-07-16,2013-07-17,13.139520607025261,26844.290443402406,26844.290443402406,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.139520607025261,13.139520607025261,0.0,0.0,0.0,0.0,False,0.007455893691027615,198.66693620084334,-0.347854017311633
union,2013-07-17,2013-07-18,13.252047270391863,27074.18455631433,27074.18455631433,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.252047270391863,13.252047270391863,0.0,0.0,0.0,0.0,False,0.008563985455180001,229.894112911923,-0.34226904860123586
union,2013-07-18,2013-07-19,13.243484427048601,27056.690504544666,27056.690504544666,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.243484427048601,13.243484427048601,0.0,0.0,0.0,0.0,False,-0.0006461524901433258,-17.4940517696632,-0.3426940430933265
union,2013-07-19,2013-07-22,13.13218013370198,26829.293716826483,26829.293716826483,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.13218013370198,13.13218013370198,0.0,0.0,0.0,0.0,False,-0.008404456845155783,-227.39678771818217,-0.3482183426422125
union,2013-07-22,2013-07-23,13.026380869888301,26613.14380912026,26613.14380912026,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.026380869888301,13.026380869888301,0.0,0.0,0.0,0.0,False,-0.008056488925411331,-216.1499077062217,-0.3534694143465018
union,2013-07-23,2013-07-24,13.421759600894031,27420.910074549072,27420.910074549072,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.421759600894031,13.421759600894031,0.0,0.0,0.0,0.0,False,0.03035215498110344,807.7662654288106,-0.3338458178107232
union,2013-07-24,2013-07-25,13.475878664846455,27531.476351258374,27531.476351258374,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.475878664846455,13.475878664846455,0.0,0.0,0.0,0.0,False,0.004032188443370721,110.56627670930175,-0.3311597586157966
union,2013-07-25,2013-07-26,13.310756755352962,27194.129150429555,27194.129150429555,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.310756755352962,13.310756755352962,0.0,0.0,0.0,0.0,False,-0.012253146054530428,-337.34720082881904,-0.3393551557806247
union,2013-07-26,2013-07-29,13.478938218183321,27537.727076901894,27537.727076901894,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.478938218183321,13.478938218183321,0.0,0.0,0.0,0.0,False,0.012635003848502135,343.59792647233917,-0.3310079056314198
union,2013-07-29,2013-07-30,13.759035230002242,28109.9705979917,28109.9705979917,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.759035230002242,13.759035230002242,0.0,0.0,0.0,0.0,False,0.020780346885266088,572.2435210898075,-0.31710601784694004
union,2013-07-30,2013-07-31,13.91284726071821,28424.21150142477,28424.21150142477,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.91284726071821,13.91284726071821,0.0,0.0,0.0,0.0,False,0.01117898371105075,314.2409034330667,-0.30947195714407627
union,2013-07-31,2013-08-01,13.936084931004507,28471.6865036756,28471.6865036756,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,13.936084931004507,13.936084931004507,0.0,0.0,0.0,0.0,False,0.001670231107323783,47.475002250830585,-0.30831861572641894
union,2013-08-01,2013-08-02,14.005188820617336,28612.86706414017,28612.86706414017,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.005188820617336,14.005188820617336,0.0,0.0,0.0,0.0,False,0.004958630056788094,141.1805604645706,-0.3048888236246392
union,2013-08-02,2013-08-05,14.20945792763236,29030.19273387533,29030.19273387533,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.20945792763236,14.20945792763236,0.0,0.0,0.0,0.0,False,0.014585244771160522,417.3256697351608,-0.29475045697403524
union,2013-08-05,2013-08-06,14.31128160546342,29238.22044382473,29238.22044382473,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.31128160546342,14.31128160546342,0.0,0.0,0.0,0.0,False,0.0071659086750275325,208.02770994940147,-0.28969670315560625
union,2013-08-06,2013-08-07,14.182236481647797,28974.57880212288,28974.57880212288,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.182236481647797,14.182236481647797,0.0,0.0,0.0,0.0,False,-0.009017020793327224,-263.64164170185177,-0.296101522752821
union,2013-08-07,2013-08-08,14.277728018991468,29169.669828653172,29169.669828653172,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.277728018991468,14.277728018991468,0.0,0.0,0.0,0.0,False,0.006733179034719816,195.09102653029186,-0.2913620482832491
union,2013-08-08,2013-08-09,14.117052199830226,28841.406074913953,28841.406074913953,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.117052199830226,14.117052199830226,0.0,0.0,0.0,0.0,False,-0.011253598538052967,-328.2637537392184,-0.2993367753006976
union,2013-08-09,2013-08-12,14.062268167352412,28729.48125486314,28729.48125486314,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.062268167352412,14.062268167352412,0.0,0.0,0.0,0.0,False,-0.00388069915038447,-111.92482005081183,-0.30205583848149375
union,2013-08-12,2013-08-13,14.495655206809268,29614.89921717189,29614.89921717189,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.495655206809268,14.495655206809268,0.0,0.0,0.0,0.0,False,0.030819141997521005,885.4179623087475,-0.2805457982613141
union,2013-08-13,2013-08-14,15.324871669882842,31309.004218483456,31309.004218483456,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.324871669882842,15.324871669882842,0.0,0.0,0.0,0.0,False,0.05720448308428683,1694.1050013115673,-0.23938979254803439
union,2013-08-14,2013-08-15,15.279937405066871,31217.202661055573,31217.202661055573,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.279937405066871,15.279937405066871,0.0,0.0,0.0,0.0,False,-0.00293211361138368,-91.80155742788338,-0.24161998809026164
union,2013-08-15,2013-08-16,15.394741829742713,31451.75028363309,31451.75028363309,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.394741829742713,15.394741829742713,0.0,0.0,0.0,0.0,False,0.0075134093571465055,234.54762257751645,-0.23592196861250603
union,2013-08-16,2013-08-19,15.52371474893616,31715.244409918883,31715.244409918883,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.52371474893616,15.52371474893616,0.0,0.0,0.0,0.0,False,0.008377725370117606,263.49412628579375,-0.2295207327042016
union,2013-08-19,2013-08-20,15.689005852558061,32052.937277569206,32052.937277569206,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.689005852558061,15.689005852558061,0.0,0.0,0.0,0.0,False,0.010647651434926741,337.692867650323,-0.2213169380281983
union,2013-08-20,2013-08-21,15.500630767977464,31668.08339788669,31668.08339788669,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.500630767977464,15.500630767977464,0.0,0.0,0.0,0.0,False,-0.012006820977116472,-384.853879682516,-0.23066644615120657
union,2013-08-21,2013-08-22,15.543409344628513,31755.480843404002,31755.480843404002,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.543409344628513,15.543409344628513,0.0,0.0,0.0,0.0,False,0.002759795861948078,87.39744551731201,-0.22854324259283687
union,2013-08-22,2013-08-23,15.490780111332617,31647.958319054578,31647.958319054578,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.490780111332617,15.490780111332617,0.0,0.0,0.0,0.0,False,-0.003385951700106582,-107.5225243494242,-0.23115535791213837
union,2013-08-23,2013-08-26,15.41321443868598,31489.490174954186,31489.490174954186,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.41321443868598,15.41321443868598,0.0,0.0,0.0,0.0,False,-0.005007215394522979,-158.46814410039224,-0.23500512863999723
union,2013-08-26,2013-08-27,15.328566060001862,31316.551927744113,31316.551927744113,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.328566060001862,15.328566060001862,0.0,0.0,0.0,0.0,False,-0.005491935444150942,-172.9382472100733,-0.23920643108861295
union,2013-08-27,2013-08-28,14.959201885594219,30561.93389610261,30561.93389610261,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,14.959201885594219,14.959201885594219,0.0,0.0,0.0,0.0,False,-0.024096459705481355,-754.6180316415011,-0.2575388626660755
union,2013-08-28,2013-08-29,15.133111593548675,30917.234736283997,30917.234736283997,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.133111593548675,15.133111593548675,0.0,0.0,0.0,0.0,False,0.011625600702797723,355.30084018138587,-0.24890730594608634
union,2013-08-29,2013-08-30,15.143883506425345,30939.24195911508,30939.24195911508,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.143883506425345,15.143883506425345,0.0,0.0,0.0,0.0,False,0.0007118108400960832,22.00722283108189,-0.24837267002454178
union,2013-08-30,2013-09-03,15.177747636358719,31008.42702048319,31008.42702048319,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.177747636358719,15.177747636358719,0.0,0.0,0.0,0.0,False,0.0022361589032962037,69.18506136810902,-0.24669191187865647
union,2013-09-03,2013-09-04,15.376580903268481,31414.647165522758,31414.647165522758,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.376580903268481,15.376580903268481,0.0,0.0,0.0,0.0,False,0.013100314465201102,406.2201450395696,-0.23682333903508734
union,2013-09-04,2013-09-05,15.397819262508191,31458.037537289234,31458.037537289234,0.0,2043.0190146396712,1.0,1.0,1.0,0.0,15.397819262508191,15.397819262508191,0.0,0.0,0.0,0.0,False,0.0013812146779128565,43.390371766476164,-0.23576922822912205
