strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,aapl_decision_date,aapl_fill_date,aapl_adjusted_open,aapl_equity_before_fill,aapl_equity,aapl_cash,aapl_shares,aapl_holding_exposure_for_return,aapl_target_exposure,aapl_new_exposure_after_fill,aapl_signed_share_delta,aapl_reference_price,aapl_fill_price,aapl_turnover,aapl_fees,aapl_slippage,aapl_margin_interest,aapl_trade_executed,aapl_daily_return,aapl_monetary_pnl,aapl_drawdown
2006-09-05,2006-09-06,2.1278109401025533,1490.4168798979335,1490.4168798979335,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.1278109401025533,2.1278109401025533,0.0,0.0,0.0,0.0,False,0.030593335602427718,44.24327445081667,0.0,2006-09-05,2006-09-06,2.1278109401025533,2709.6829073094746,2709.6829073094746,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.1278109401025533,2.1278109401025533,0.0,0.0,0.0,0.0,False,0.030593335602427496,80.43739047761528,-0.17059475286567127
2006-09-06,2006-09-07,2.1134414332193314,1480.3518148064215,1480.3518148064215,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.1134414332193314,2.1134414332193314,0.0,0.0,0.0,0.0,False,-0.006753187800852878,-10.065065091511997,-0.006753187800852878,2006-09-06,2006-09-07,2.1134414332193314,2691.383909755653,2691.383909755653,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.1134414332193314,2.1134414332193314,0.0,0.0,0.0,0.0,False,-0.006753187800852767,-18.298997553821664,-0.1761958822625821
2006-09-07,2006-09-08,2.196362129267334,1538.433293171634,1538.433293171634,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.196362129267334,2.196362129267334,0.0,0.0,0.0,0.0,False,0.03923491550068281,58.08147836521243,0.0,2006-09-07,2006-09-08,2.196362129267334,2796.980130034813,2796.980130034813,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.196362129267334,2.196362129267334,0.0,0.0,0.0,0.0,False,0.03923491550068281,105.5962202791602,-0.14387399731404005
2006-09-08,2006-09-11,2.168223075826126,1518.7234028600892,1518.7234028600892,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.168223075826126,2.168223075826126,0.0,0.0,0.0,0.0,False,-0.012811663917459026,-19.70989031154477,-0.012811663917459026,2006-09-08,2006-09-11,2.168223075826126,2761.1461606249964,2761.1461606249964,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.168223075826126,2.168223075826126,0.0,0.0,0.0,0.0,False,-0.012811663917459026,-35.833969409816746,-0.1548423959314501
2006-09-11,2006-09-12,2.1795979712545335,1526.6909040295095,1526.6909040295095,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.1795979712545335,2.1795979712545335,0.0,0.0,0.0,0.0,False,0.0052461831788563895,7.967501169420302,-0.007632693074339558,2006-09-11,2006-09-12,2.1795979712545335,2775.6316391672312,2775.6316391672312,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.1795979712545335,2.1795979712545335,0.0,0.0,0.0,0.0,False,0.0052461831788563895,14.485478542234887,-0.1504085443255031
2006-09-12,2006-09-13,2.180795823638304,1527.529935063118,1527.529935063118,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.180795823638304,2.180795823638304,0.0,0.0,0.0,0.0,False,0.0005495749214159407,0.8390310336085349,-0.0070873128896200566,2006-09-12,2006-09-13,2.180795823638304,2777.1570567072063,2777.1570567072063,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.180795823638304,2.180795823638304,0.0,0.0,0.0,0.0,False,0.0005495749214159407,1.5254175399750238,-0.1499416301680151
2006-09-13,2006-09-14,2.2068390031070466,1545.7717786192727,1545.7717786192727,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.2068390031070466,2.2068390031070466,0.0,0.0,0.0,0.0,False,0.01194205307367735,18.241843556154663,0.0,2006-09-13,2006-09-14,2.2068390031070466,2810.322013672341,2810.322013672341,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.2068390031070466,2.2068390031070466,0.0,0.0,0.0,0.0,False,0.01194205307367735,33.164956965134934,-0.13979018799975795
2006-09-14,2006-09-15,2.2331829215258168,1564.2242736008507,1564.2242736008507,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.2331829215258168,2.2331829215258168,0.0,0.0,0.0,0.0,False,0.011937399321690467,18.452494981577956,0.0,2006-09-14,2006-09-15,2.2331829215258168,2843.8699497720854,2843.8699497720854,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.2331829215258168,2.2331829215258168,0.0,0.0,0.0,0.0,False,0.011937399321690467,33.54793609974422,-0.12952151997347472
2006-09-15,2006-09-18,2.2092344329546934,1547.449648119921,1547.449648119921,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.2092344329546934,2.2092344329546934,0.0,0.0,0.0,0.0,False,-0.010723926078908375,-16.77462548092967,-0.010723926078908375,2006-09-15,2006-09-18,2.2092344329546934,2813.3724986527004,2813.3724986527004,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.2092344329546934,2.2092344329546934,0.0,0.0,0.0,0.0,False,-0.010723926078908486,-30.497451119385005,-0.13885646684655972
2006-09-18,2006-09-19,2.2182159875134966,1553.740743005221,1553.740743005221,0.0,700.4461025217308,1.0,1.0,1.0,0.0,2.2182159875134966,2.2182159875134966,0.0,0.0,0.0,0.0,False,0.004065460154353495,6.291094885300026,-0.006702063618726828,2006-09-18,2006-09-19,2.2182159875134966,2824.8101524453273,2824.8101524453273,0.0,1273.460370111114,1.0,1.0,1.0,0.0,2.2182159875134966,2.2182159875134966,0.0,0.0,0.0,0.0,False,0.004065460154353717,11.437653792626861,-0.13535552212534518
