market,report_date,availability_date,net_share
NASDAQ,2002-02-12,2002-02-20,-0.082819331895295278
SP500,2002-02-12,2002-02-20,0.05509358452811311
NASDAQ,2002-02-19,2002-02-27,-0.099210968826801194
SP500,2002-02-19,2002-02-27,0.10445482161323681
NASDAQ,2002-02-26,2002-03-06,-0.093024643475147675
SP500,2002-02-26,2002-03-06,0.22547779905343401
NASDAQ,2002-03-05,2002-03-13,-0.098796109024366752
SP500,2002-03-05,2002-03-13,0.15776508863953256
NASDAQ,2002-03-12,2002-03-20,-0.10489428030275115
SP500,2002-03-12,2002-03-20,0.17857204060298981
NASDAQ,2002-03-19,2002-03-27,-0.05457986240073575
SP500,2002-03-19,2002-03-27,-0.03969003088038222
NASDAQ,2002-03-26,2002-04-03,-0.035383449359982035
SP500,2002-03-26,2002-04-03,0.16490081764525386
NASDAQ,2002-04-02,2002-04-10,-0.043724148496144616
SP500,2002-04-02,2002-04-10,0.089088209448198535
NASDAQ,2002-04-09,2002-04-17,-0.023025864042114902
SP500,2002-04-09,2002-04-17,0.16474649671119826
NASDAQ,2002-04-16,2002-04-24,0.023268419600268066
SP500,2002-04-16,2002-04-24,0.30267759950016426
NASDAQ,2002-04-23,2002-05-01,0.034849593245137013
SP500,2002-04-23,2002-05-01,0.22783076455897025
NASDAQ,2002-04-30,2002-05-08,0.14990350490426385
SP500,2002-04-30,2002-05-08,0.31672359520460786
NASDAQ,2002-05-07,2002-05-15,0.084867668256728035
SP500,2002-05-07,2002-05-15,0.2361912066193714
NASDAQ,2002-05-14,2002-05-22,-0.026220147324405942
SP500,2002-05-14,2002-05-22,0.19715953552379495
NASDAQ,2002-05-21,2002-05-29,-0.084061319957166203
SP500,2002-05-21,2002-05-29,0.2041348216680075
NASDAQ,2002-05-28,2002-06-05,-0.079378482360006899
SP500,2002-05-28,2002-06-05,0.1732604594384641
NASDAQ,2002-06-04,2002-06-12,0.016341460715194846
SP500,2002-06-04,2002-06-12,0.22640500637948843
NASDAQ,2002-06-11,2002-06-19,-0.013580459064686388
SP500,2002-06-11,2002-06-19,0.2607289001557011
NASDAQ,2002-06-18,2002-06-26,-0.012415695192171582
SP500,2002-06-18,2002-06-26,0.23630079353778041
NASDAQ,2002-06-25,2002-07-03,0.17319953870014185
SP500,2002-06-25,2002-07-03,0.089756084263039174
NASDAQ,2002-07-02,2002-07-10,0.14466617609910928
SP500,2002-07-02,2002-07-10,0.083717203101110554
NASDAQ,2002-07-09,2002-07-17,0.097640332960412204
SP500,2002-07-09,2002-07-17,0.066299036132254005
NASDAQ,2002-07-16,2002-07-24,0.1271288151557966
SP500,2002-07-16,2002-07-24,0.11658330974175081
NASDAQ,2002-07-23,2002-07-31,0.1847418766333021
SP500,2002-07-23,2002-07-31,0.19074612852690245
NASDAQ,2002-07-30,2002-08-07,0.09902962299665577
SP500,2002-07-30,2002-08-07,0.12661711318541416
NASDAQ,2002-08-06,2002-08-14,0.18759812971238291
SP500,2002-08-06,2002-08-14,0.17881122669541377
NASDAQ,2002-08-13,2002-08-21,0.096991789183035818
SP500,2002-08-13,2002-08-21,0.10834189565385392
NASDAQ,2002-08-20,2002-08-28,0.059686349537640952
SP500,2002-08-20,2002-08-28,0.10134320001385337
NASDAQ,2002-08-27,2002-09-04,0.054654742541324526
SP500,2002-08-27,2002-09-04,0.073191907997475325
NASDAQ,2002-09-03,2002-09-11,0.075461005768947417
SP500,2002-09-03,2002-09-11,0.018328301531777325
NASDAQ,2002-09-10,2002-09-18,0.10516549816113155
SP500,2002-09-10,2002-09-18,0.051965410869952225
NASDAQ,2002-09-17,2002-09-25,-0.071304315726816753
SP500,2002-09-17,2002-09-25,-0.03596202993793355
NASDAQ,2002-09-24,2002-10-02,-0.28604225210758732
SP500,2002-09-24,2002-10-02,-0.17141739745190354
NASDAQ,2002-10-01,2002-10-09,-0.25189635832565166
SP500,2002-10-01,2002-10-09,-0.044512022821158015
NASDAQ,2002-10-08,2002-10-16,-0.25142817744858559
SP500,2002-10-08,2002-10-16,0.075673672725775576
NASDAQ,2002-10-15,2002-10-23,-0.30432468744819885
SP500,2002-10-15,2002-10-23,0.04016955295378264
NASDAQ,2002-10-22,2002-10-30,-0.26761235161107971
SP500,2002-10-22,2002-10-30,0.067790327212978979
NASDAQ,2002-10-29,2002-11-06,-0.23048511218625189
SP500,2002-10-29,2002-11-06,0.012093117000906983
NASDAQ,2002-11-05,2002-11-13,-0.11337942415309782
SP500,2002-11-05,2002-11-13,0.045750795830001662
NASDAQ,2002-11-12,2002-11-20,-0.020382689706148975
SP500,2002-11-12,2002-11-20,0.044371873689378984
NASDAQ,2002-11-19,2002-11-27,-0.013009843056868879
SP500,2002-11-19,2002-11-27,0.0045356082424146292
NASDAQ,2002-11-26,2002-12-04,0.021441801700133704
SP500,2002-11-26,2002-12-04,-0.03072375210104861
NASDAQ,2002-12-03,2002-12-11,0.068052494819590179
SP500,2002-12-03,2002-12-11,-0.042831940040357452
NASDAQ,2002-12-10,2002-12-18,0.18936570330692409
SP500,2002-12-10,2002-12-18,-0.033455811255076386
NASDAQ,2002-12-17,2002-12-25,0.15834561718797327
SP500,2002-12-17,2002-12-25,-0.00017877732380389936
NASDAQ,2002-12-23,2002-12-31,0.087839879890419512
SP500,2002-12-23,2002-12-31,-0.06458294558750248
NASDAQ,2002-12-31,2003-01-08,0.10994551791817536
SP500,2002-12-31,2003-01-08,-0.099234645240364974
NASDAQ,2003-01-07,2003-01-15,0.12848249579851823
SP500,2003-01-07,2003-01-15,-0.08957654039672848
NASDAQ,2003-01-14,2003-01-22,0.14116427399366988
SP500,2003-01-14,2003-01-22,-0.03354425474044688
NASDAQ,2003-01-21,2003-01-29,0.12645301634595063
SP500,2003-01-21,2003-01-29,-0.12985241880920162
NASDAQ,2003-01-28,2003-02-05,0.18827075637225252
SP500,2003-01-28,2003-02-05,-0.14428822959435667
NASDAQ,2003-02-04,2003-02-12,0.11313468831694834
SP500,2003-02-04,2003-02-12,-0.24414624482823571
NASDAQ,2003-02-11,2003-02-19,0.094138242134798905
SP500,2003-02-11,2003-02-19,-0.21996678505656406
NASDAQ,2003-02-18,2003-02-26,0.09902631824465874
SP500,2003-02-18,2003-02-26,-0.15517517152357835
NASDAQ,2003-02-25,2003-03-05,0.096211505590270974
SP500,2003-02-25,2003-03-05,-0.17714590984974959
NASDAQ,2003-03-04,2003-03-12,0.092761370607308741
SP500,2003-03-04,2003-03-12,-0.27184703947771488
NASDAQ,2003-03-11,2003-03-19,0.089394016184346128
SP500,2003-03-11,2003-03-19,-0.16572527832351014
NASDAQ,2003-03-18,2003-03-26,0.20203424045964516
SP500,2003-03-18,2003-03-26,-0.073253148025187578
NASDAQ,2003-03-25,2003-04-02,0.24444521577008324
SP500,2003-03-25,2003-04-02,-0.013467261904761905
