policy,ledger_role,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
union,strategy,2020-05-27,2020-05-28,76.676390444870108,210600.57637431333,210600.57637431333,0,2746.6156812080762,1,1,1,0,76.676390444870108,76.676390444870108,0,0,0,0,False,0.0019927832811412749,418.84663702183752,-0.020803600170727465
union,strategy,2020-05-28,2020-05-29,77.276696431639536,212249.38621109733,212249.38621109733,0,2746.6156812080762,1,1,1,0,77.276696431639536,77.276696431639536,0,0,0,0,False,0.0078290851106384007,1648.8098367839993,-0.013137388216433399
union,strategy,2020-05-29,2020-06-01,76.913608866159876,211252.12421009925,211252.12421009925,0,2746.6156812080762,1,1,1,0,76.913608866159876,76.913608866159876,0,0,0,0,False,-0.0046985389159440727,-997.26200099807465,-0.017774200602588608
union,strategy,2020-06-01,2020-06-02,77.639766502866152,213246.60016210569,213246.60016210569,0,2746.6156812080762,1,1,1,0,77.639766502866152,77.639766502866152,0,0,0,0,False,0.0094412113462245539,1994.4759520064399,-0.0085007992407631905
union,strategy,2020-06-02,2020-06-03,78.586219030337318,215846.14151557701,215846.14151557701,0,2746.6156812080762,1,1,1,0,78.586219030337318,78.586219030337318,0,0,0,0,False,0.012190306206500745,2599.5413534713152,0
union,strategy,2020-06-03,2020-06-04,78.520865619031596,215666.64081126428,215666.64081126428,0,2746.6156812080762,1,1,1,0,78.520865619031596,78.520865619031596,0,0,0,0,False,-0.00083161414446586424,-179.50070431272616,-0.00083161414446586424
union,strategy,2020-06-04,2020-06-05,78.269104691897979,214975.1503008836,214975.1503008836,0,2746.6156812080762,1,1,1,0,78.269104691897979,78.269104691897979,0,0,0,0,False,-0.0032062933227852142,-691.49051038068137,-0.0040352410683724971
union,strategy,2020-06-05,2020-06-08,79.939307851499663,219562.55648984885,219562.55648984885,0,2746.6156812080762,1,1,1,0,79.939307851499663,79.939307851499663,0,0,0,0,False,0.021339239361129136,4587.4061889652512,0
union,strategy,2020-06-08,2020-06-09,80.396805676708297,220819.12719068548,220819.12719068548,0,2746.6156812080762,1,1,1,0,80.396805676708297,80.396805676708297,0,0,0,0,False,0.0057230646287120823,1256.5707008366298,0
union,strategy,2020-06-09,2020-06-10,84.21162466782144,231296.96885264723,231296.96885264723,0,2746.6156812080762,1,1,1,0,84.21162466782144,84.21162466782144,0,0,0,0,False,0.047449882604208238,10477.841661961749,0
union,strategy,2020-06-10,2020-06-11,84.552915228312244,232234.36285793956,232234.36285793956,0,2746.6156812080762,1,1,1,0,84.552915228312244,84.552915228312244,0,0,0,0,False,0.0040527725457981667,937.39400529232807,0
union,strategy,2020-06-11,2020-06-12,83.441884103850214,229182.78734918189,229182.78734918189,0,2746.6156812080762,1,1,1,0,83.441884103850214,83.441884103850214,0,0,0,0,False,-0.013140068813263239,-3051.575508757669,-0.013140068813263239
union,strategy,2020-06-12,2020-06-15,80.665491974399004,221557.10518924851,221557.10518924851,0,2746.6156812080762,1,1,1,0,80.665491974399004,80.665491974399004,0,0,0,0,False,-0.03327336336264608,-7625.682159933378,-0.045976217891675386
union,strategy,2020-06-15,2020-06-16,85.073360274068662,233663.8253818212,233663.8253818212,0,2746.6156812080762,1,1,1,0,85.073360274068662,85.073360274068662,0,0,0,0,False,0.05464379118977658,12106.720192572684,0
union,strategy,2020-06-16,2020-06-17,85.96652717235736,236117.0115905969,236117.0115905969,0,2746.6156812080762,1,1,1,0,85.96652717235736,85.96652717235736,0,0,0,0,False,0.010498784759545243,2453.1862087757036,0
union,strategy,2020-06-17,2020-06-18,85.061250010229088,233630.56314125584,233630.56314125584,0,2746.6156812080762,1,1,1,0,85.061250010229088,85.061250010229088,0,0,0,0,False,-0.010530577329397661,-2486.4484493410564,-0.010530577329397661
union,strategy,2020-06-18,2020-06-19,85.843099615654481,235778.00352786359,235778.00352786359,0,2746.6156812080762,1,1,1,0,85.843099615654481,85.843099615654481,0,0,0,0,False,0.0091916072868829524,2147.4403866077482,-0.0014357629738306343
union,strategy,2020-06-19,2020-06-22,85.044300331848902,233584.0088888254,233584.0088888254,0,2746.6156812080762,1,1,1,0,85.044300331848902,85.044300331848902,0,0,0,0,False,-0.0093053406433604158,-2193.9946390381956,-0.010727743353636354
union,strategy,2020-06-22,2020-06-23,88.108741758742696,242000.85176607553,242000.85176607553,0,2746.6156812080762,1,1,1,0,88.108741758742696,88.108741758742696,0,0,0,0,False,0.036033472142590561,8416.8428772501356,0
union,strategy,2020-06-23,2020-06-24,88.350775814035174,242665.62629772825,242665.62629772825,0,2746.6156812080762,1,1,1,0,88.350775814035174,88.350775814035174,0,0,0,0,False,0.002746992528337433,664.77453165271436,0
union,strategy,2020-06-24,2020-06-25,87.309945554915544,239806.8655865544,239806.8655865544,0,2746.6156812080762,1,1,1,0,87.309945554915544,87.309945554915544,0,0,0,0,False,-0.011780657832710206,-2858.7607111738471,-0.011780657832710206
union,strategy,2020-06-25,2020-06-26,88.207983839856823,242273.43162229934,242273.43162229934,0,2746.6156812080762,1,1,1,0,88.207983839856823,88.207983839856823,0,0,0,0,False,0.010285635608104249,2466.5660357449378,-0.0016161937782969149
union,strategy,2020-06-26,2020-06-29,85.50662726415537,234853.84329094316,234853.84329094316,0,2746.6156812080762,1,1,1,0,85.50662726415537,85.50662726415537,0,0,0,0,False,-0.030624853421497789,-7419.588331356179,-0.032191551502233628
union,strategy,2020-06-29,2020-06-30,87.159866650138099,239394.65651327415,239394.65651327415,0,2746.6156812080762,1,1,1,0,87.159866650138099,87.159866650138099,0,0,0,0,False,0.019334634505877357,4540.8132223309949,-0.013479328878828967
union,strategy,2020-06-30,2020-07-01,88.379840623854236,242745.45616014861,242745.45616014861,0,2746.6156812080762,1,1,1,0,88.379840623854236,88.379840623854236,0,0,0,0,False,0.013996969254360447,3350.7996468744532,0
union,strategy,2020-07-01,2020-07-02,89.040658818145715,244560.46977501721,244560.46977501721,0,2746.6156812080762,1,1,1,0,89.040658818145715,89.040658818145715,0,0,0,0,False,0.0074770240546588873,1815.0136148685997,0
union,strategy,2020-07-02,2020-07-06,89.561075439925347,245989.85422915846,245989.85422915846,0,2746.6156812080762,1,1,1,0,89.561075439925347,89.561075439925347,0,0,0,0,False,0.0058447076727330405,1429.3844541412545,0
union,strategy,2020-07-06,2020-07-07,90.870606854509333,249586.63374748942,249586.63374748942,0,2746.6156812080762,1,1,1,0,90.870606854509333,90.870606854509333,0,0,0,0,False,0.014621657993179937,3596.7795183309645,0
union,strategy,2020-07-07,2020-07-08,91.187707073539769,250457.58618159295,250457.58618159295,0,2746.6156812080762,1,1,1,0,91.187707073539769,91.187707073539769,0,0,0,0,False,0.0034895796342391261,870.9524341035285,0
union,strategy,2020-07-08,2020-07-09,93.204041799455808,255995.68275835834,255995.68275835834,0,2746.6156812080762,1,1,1,0,93.204041799455808,93.204041799455808,0,0,0,0,False,0.022111913882097545,5538.0965767653834,0
union,strategy,2020-07-09,2020-07-10,92.305993646358417,253529.08961858109,253529.08961858109,0,2746.6156812080762,1,1,1,0,92.305993646358417,92.305993646358417,0,0,0,0,False,-0.0096352919439877116,-2466.5931397772511,-0.0096352919439877116
union,strategy,2020-07-10,2020-07-13,94.174690968630145,258661.68298736415,258661.68298736415,0,2746.6156812080762,1,1,1,0,94.174690968630145,94.174690968630145,0,0,0,0,False,0.020244593535616584,5132.5933687830693,0
union,strategy,2020-07-13,2020-07-14,91.82671884066302,252212.70592165014,252212.70592165014,0,2746.6156812080762,1,1,1,0,91.82671884066302,91.82671884066302,0,0,0,0,False,-0.024932092729130884,-6448.977065714018,-0.024932092729130884
union,strategy,2020-07-14,2020-07-15,95.844871403138157,263249.02675923076,263249.02675923076,0,2746.6156812080762,1,1,1,0,95.844871403138157,95.844871403138157,0,0,0,0,False,0.043757989103883954,11036.320837580628,0
union,strategy,2020-07-15,2020-07-16,93.49450240060446,256793.46640024634,256793.46640024634,0,2746.6156812080762,1,1,1,0,93.49450240060446,93.49450240060446,0,0,0,0,False,-0.024522637133578939,-6455.560358984425,-0.024522637133578939
union,strategy,2020-07-16,2020-07-17,93.906001701177146,257923.69683200543,257923.69683200543,0,2746.6156812080762,1,1,1,0,93.906001701177146,93.906001701177146,0,0,0,0,False,0.0044013208264319648,1130.2304317590897,-0.020229248300681957
union,strategy,2020-07-17,2020-07-20,93.354110671796732,256407.86427639113,256407.86427639113,0,2746.6156812080762,1,1,1,0,93.354110671796732,93.354110671796732,0,0,0,0,False,-0.0058770581153758661,-1515.8325556142954,-0.025987417948164393
union,strategy,2020-07-20,2020-07-21,96.021566177324686,263734.33939679904,263734.33939679904,0,2746.6156812080762,1,1,1,0,96.021566177324686,96.021566177324686,0,0,0,0,False,0.028573519541157388,7326.4751204079075,0
union,strategy,2020-07-21,2020-07-22,93.620364272228997,257139.16059051649,257139.16059051649,0,2746.6156812080762,1,1,1,0,93.620364272228997,93.620364272228997,0,0,0,0,False,-0.025006902102193918,-6595.1788062825508,-0.025006902102193918
