"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"0605161170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-05-16T00:00:00.000","1170E1","33705","5520","7581"
"06051613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-05-16T00:00:00.000","13874A","1369005","207357","423150"
"060516209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-05-16T00:00:00.000","209742","373119","79422","169271"
"0605231170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2006-05-23T00:00:00.000","1170E1","31475","3890","4536"
"06052313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-05-23T00:00:00.000","13874A","1475797","196500","453312"
"060523209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-05-23T00:00:00.000","209742","417808","100386","193745"
"06053013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-05-30T00:00:00.000","13874A","1493600","217857","438229"
"060530209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-05-30T00:00:00.000","209742","427909","105598","207649"
"06060613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-06-06T00:00:00.000","13874A","1578088","229749","479507"
"060606209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-06-06T00:00:00.000","209742","461020","105415","216542"
"06061313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-06-13T00:00:00.000","13874A","2042655","235392","470466"
"060613209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-06-13T00:00:00.000","209742","598465","122616","250046"
"06062013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-06-20T00:00:00.000","13874A","1293970","192329","380103"
"060620209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-06-20T00:00:00.000","209742","331256","69447","170809"
"06062713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-06-27T00:00:00.000","13874A","1298945","208915","388717"
"060627209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-06-27T00:00:00.000","209742","352844","69655","182433"
"06070313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-07-03T00:00:00.000","13874A","1332529","226286","304824"
"060703209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-07-03T00:00:00.000","209742","325610","59317","131492"
"06071113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-07-11T00:00:00.000","13874A","1344585","207068","324822"
"060711209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2006-07-11T00:00:00.000","209742","342671","88148","155390"
"06071813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2006-07-18T00:00:00.000","13874A","1403408","189559","393530"
