"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"1104191170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-04-19T00:00:00.000","1170E1","214920","30257","33691"
"11041913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-04-19T00:00:00.000","13874A","2708468","375629","430177"
"110419209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-04-19T00:00:00.000","209742","315826","83853","44723"
"1104261170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-04-26T00:00:00.000","1170E1","193067","27271","35506"
"11042613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-04-26T00:00:00.000","13874A","2745754","385750","392028"
"110426209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-04-26T00:00:00.000","209742","365429","124361","60874"
"1105031170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-05-03T00:00:00.000","1170E1","215008","28803","40403"
"11050313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-05-03T00:00:00.000","13874A","2816881","438683","421121"
"110503209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-05-03T00:00:00.000","209742","412576","160597","70168"
"1105101170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-05-10T00:00:00.000","1170E1","228037","29676","41147"
"11051013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-05-10T00:00:00.000","13874A","2707707","382180","371415"
"110510209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-05-10T00:00:00.000","209742","399383","145379","67902"
"1105171170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-05-17T00:00:00.000","1170E1","244146","30355","37590"
"11051713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-05-17T00:00:00.000","13874A","2725544","394409","361364"
"110517209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-05-17T00:00:00.000","209742","362823","113464","41376"
"1105241170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-05-24T00:00:00.000","1170E1","235635","25608","45959"
"11052413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-05-24T00:00:00.000","13874A","2803618","414291","424621"
"110524209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-05-24T00:00:00.000","209742","344740","100939","36561"
"1105311170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-05-31T00:00:00.000","1170E1","242356","31558","49510"
"11053113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-05-31T00:00:00.000","13874A","2866938","427011","466885"
"110531209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-05-31T00:00:00.000","209742","351232","99829","31001"
"1106071170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-06-07T00:00:00.000","1170E1","244662","28040","45204"
"11060713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-06-07T00:00:00.000","13874A","3009071","523960","481892"
"110607209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-06-07T00:00:00.000","209742","340737","87266","38134"
"1106141170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-06-14T00:00:00.000","1170E1","248976","22941","44430"
"11061413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-06-14T00:00:00.000","13874A","3425322","499928","432308"
"110614209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-06-14T00:00:00.000","209742","401154","75932","50448"
"1106211170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-06-21T00:00:00.000","1170E1","215571","20476","43074"
"11062113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-06-21T00:00:00.000","13874A","2537969","282047","363500"
"110621209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-06-21T00:00:00.000","209742","270658","38028","55008"
"1106281170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-06-28T00:00:00.000","1170E1","212119","20344","43244"
"11062813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-06-28T00:00:00.000","13874A","2516434","289179","333946"
"110628209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-06-28T00:00:00.000","209742","267870","35149","45367"
"1107051170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-07-05T00:00:00.000","1170E1","212295","31149","47189"
"11070513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-07-05T00:00:00.000","13874A","2494190","309913","400113"
"110705209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-07-05T00:00:00.000","209742","292653","66369","47548"
"1107121170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-07-12T00:00:00.000","1170E1","230043","28783","49555"
"11071213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-07-12T00:00:00.000","13874A","2601431","361033","342757"
"110712209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-07-12T00:00:00.000","209742","356267","116186","44139"
"1107191170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-07-19T00:00:00.000","1170E1","227512","24064","40606"
"11071913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-07-19T00:00:00.000","13874A","2599222","301786","346296"
"110719209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-07-19T00:00:00.000","209742","363827","119318","51031"
"1107261170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-07-26T00:00:00.000","1170E1","220533","20482","36411"
"11072613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-07-26T00:00:00.000","13874A","2581474","324025","374910"
"110726209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-07-26T00:00:00.000","209742","364339","114894","41604"
"1108021170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-08-02T00:00:00.000","1170E1","213494","22960","32901"
"11080213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-08-02T00:00:00.000","13874A","2811337","392835","319141"
"110802209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-08-02T00:00:00.000","209742","353814","98156","39145"
"1108091170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-08-09T00:00:00.000","1170E1","199055","24801","25144"
"11080913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-08-09T00:00:00.000","13874A","3386290","501568","481877"
"110809209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-08-09T00:00:00.000","209742","329768","70995","17502"
"1108161170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-08-16T00:00:00.000","1170E1","199173","26095","26926"
"11081613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-08-16T00:00:00.000","13874A","3229005","344568","529599"
"110816209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-08-16T00:00:00.000","209742","342998","31658","40162"
"1108231170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-08-23T00:00:00.000","1170E1","166998","20506","35546"
"11082313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-08-23T00:00:00.000","13874A","3438382","446890","576947"
"110823209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-08-23T00:00:00.000","209742","360396","36711","32315"
"1108301170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-08-30T00:00:00.000","1170E1","162292","21671","35068"
"11083013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-08-30T00:00:00.000","13874A","3569848","337825","661121"
"110830209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-08-30T00:00:00.000","209742","372851","33773","37193"
"1109061170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-09-06T00:00:00.000","1170E1","166198","20479","35418"
"11090613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-09-06T00:00:00.000","13874A","3762716","400409","672677"
"110906209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-09-06T00:00:00.000","209742","392734","40244","30932"
"1109131170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-09-13T00:00:00.000","1170E1","165892","16631","33806"
"11091313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-09-13T00:00:00.000","13874A","4089537","448289","663485"
"110913209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-09-13T00:00:00.000","209742","473798","43997","34057"
"1109201170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-09-20T00:00:00.000","1170E1","178964","17150","35372"
"11092013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-09-20T00:00:00.000","13874A","2920552","222419","529735"
"110920209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-09-20T00:00:00.000","209742","309930","52168","26939"
"1109271170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-09-27T00:00:00.000","1170E1","149240","19383","24678"
"11092713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-09-27T00:00:00.000","13874A","2976793","271244","558278"
"110927209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-09-27T00:00:00.000","209742","316586","49733","35732"
"1110041170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-10-04T00:00:00.000","1170E1","146895","18323","24636"
"11100413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-10-04T00:00:00.000","13874A","3143543","268305","563504"
"111004209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-10-04T00:00:00.000","209742","322866","40475","42593"
"1110111170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-10-11T00:00:00.000","1170E1","154210","16933","30260"
"11101113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-10-11T00:00:00.000","13874A","3011932","244950","544415"
"111011209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-10-11T00:00:00.000","209742","299005","40878","27825"
"1110181170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-10-18T00:00:00.000","1170E1","148583","16328","28415"
"11101813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-10-18T00:00:00.000","13874A","3003811","225605","594173"
"111018209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-10-18T00:00:00.000","209742","324594","62854","25550"
"1110251170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-10-25T00:00:00.000","1170E1","133700","16718","21522"
"11102513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-10-25T00:00:00.000","13874A","3004309","235710","618694"
"111025209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-10-25T00:00:00.000","209742","337429","79729","29381"
"1111011170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-11-01T00:00:00.000","1170E1","146654","17103","19053"
"11110113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-11-01T00:00:00.000","13874A","2848461","243818","541626"
"111101209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-11-01T00:00:00.000","209742","339730","78704","25121"
"1111081170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-11-08T00:00:00.000","1170E1","138086","17688","23707"
"11110813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-11-08T00:00:00.000","13874A","2891815","238790","570000"
"111108209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-11-08T00:00:00.000","209742","346543","74858","30516"
"1111151170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-11-15T00:00:00.000","1170E1","147703","18708","21699"
"11111513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-11-15T00:00:00.000","13874A","2962579","266741","556884"
"111115209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-11-15T00:00:00.000","209742","346653","74524","26848"
"1111221170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-11-22T00:00:00.000","1170E1","133931","21633","16257"
"11112213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-11-22T00:00:00.000","13874A","3035521","231750","535165"
"111122209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-11-22T00:00:00.000","209742","320368","51867","38243"
"1111291170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-11-29T00:00:00.000","1170E1","138609","20435","19660"
"11112913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-11-29T00:00:00.000","13874A","3015865","207632","527102"
"111129209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-11-29T00:00:00.000","209742","295643","37958","25606"
"1112061170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-12-06T00:00:00.000","1170E1","148494","18753","17700"
"11120613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-12-06T00:00:00.000","13874A","3017064","235240","513531"
"111206209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-12-06T00:00:00.000","209742","321602","47248","25771"
"1112131170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-12-13T00:00:00.000","1170E1","150430","14296","22550"
"11121313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-12-13T00:00:00.000","13874A","3406086","259751","521421"
"111213209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-12-13T00:00:00.000","209742","412713","64402","31306"
"1112201170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-12-20T00:00:00.000","1170E1","156992","16477","23622"
"11122013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-12-20T00:00:00.000","13874A","2561308","264668","449566"
"111220209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-12-20T00:00:00.000","209742","255825","44937","22324"
"1112271170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2011-12-27T00:00:00.000","1170E1","127438","11459","22083"
"11122713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2011-12-27T00:00:00.000","13874A","2610560","244844","501597"
"111227209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2011-12-27T00:00:00.000","209742","255983","39099","24310"
"1201031170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-01-03T00:00:00.000","1170E1","128268","10315","24489"
"12010313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-01-03T00:00:00.000","13874A","2671088","276017","523666"
"120103209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-01-03T00:00:00.000","209742","264654","47813","20796"
"1201101170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-01-10T00:00:00.000","1170E1","144035","12003","32216"
"12011013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-01-10T00:00:00.000","13874A","2592195","298308","448218"
"120110209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-01-10T00:00:00.000","209742","298290","66992","22610"
"1201171170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-01-17T00:00:00.000","1170E1","154301","13992","31297"
"12011713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-01-17T00:00:00.000","13874A","2624154","281816","488637"
"120117209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-01-17T00:00:00.000","209742","328260","76778","26974"
"1201241170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-01-24T00:00:00.000","1170E1","151622","25096","42845"
"12012413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-01-24T00:00:00.000","13874A","2683566","314258","511020"
"120124209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-01-24T00:00:00.000","209742","375509","113541","33983"
"1201311170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-01-31T00:00:00.000","1170E1","171354","29280","47556"
"12013113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-01-31T00:00:00.000","13874A","2730177","379103","484499"
"120131209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-01-31T00:00:00.000","209742","382193","127264","18742"
"1202071170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-02-07T00:00:00.000","1170E1","191134","37035","55511"
"12020713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-02-07T00:00:00.000","13874A","2724897","374660","454588"
"120207209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-02-07T00:00:00.000","209742","385405","139213","18981"
"1202141170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-02-14T00:00:00.000","1170E1","209554","43681","61226"
"12021413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-02-14T00:00:00.000","13874A","2756775","335508","505260"
"120214209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-02-14T00:00:00.000","209742","437643","154182","26099"
"1202211170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-02-21T00:00:00.000","1170E1","204578","64836","69514"
"12022113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-02-21T00:00:00.000","13874A","2802676","353640","492064"
"120221209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-02-21T00:00:00.000","209742","462415","141522","28850"
"1202281170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-02-28T00:00:00.000","1170E1","236528","74235","83718"
"12022813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-02-28T00:00:00.000","13874A","2827921","370112","466168"
"120228209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-02-28T00:00:00.000","209742","481256","152427","28815"
"1203061170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-03-06T00:00:00.000","1170E1","271074","84036","91666"
"12030613874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-03-06T00:00:00.000","13874A","2970409","386231","490981"
"120306209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-03-06T00:00:00.000","209742","480559","156430","36030"
"1203131170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-03-13T00:00:00.000","1170E1","308953","85686","102097"
"12031313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-03-13T00:00:00.000","13874A","3318585","419953","495986"
"120313209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-03-13T00:00:00.000","209742","587569","172792","34005"
"1203201170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-03-20T00:00:00.000","1170E1","363883","100800","115343"
"12032013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-03-20T00:00:00.000","13874A","2694315","347648","535583"
"120320209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-03-20T00:00:00.000","209742","441701","133373","42994"
"1203271170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-03-27T00:00:00.000","1170E1","304339","78891","108518"
"12032713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-03-27T00:00:00.000","13874A","2732746","368550","533461"
"120327209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-03-27T00:00:00.000","209742","435674","125370","43189"
"1204031170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-04-03T00:00:00.000","1170E1","310512","76912","103249"
"12040313874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-04-03T00:00:00.000","13874A","2753427","373721","563115"
"120403209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-04-03T00:00:00.000","209742","447118","133144","40015"
"1204101170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-04-10T00:00:00.000","1170E1","322529","86237","103771"
"12041013874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-04-10T00:00:00.000","13874A","2775438","411521","553166"
"120410209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-04-10T00:00:00.000","209742","449201","149774","47057"
"1204171170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-04-17T00:00:00.000","1170E1","340437","81491","98439"
"12041713874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-04-17T00:00:00.000","13874A","2804377","417430","536676"
"120417209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-04-17T00:00:00.000","209742","440192","150633","35140"
"1204241170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-04-24T00:00:00.000","1170E1","300629","81862","102100"
"12042413874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-04-24T00:00:00.000","13874A","2819711","385332","530932"
"120424209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-04-24T00:00:00.000","209742","416133","141163","35608"
"1205011170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-05-01T00:00:00.000","1170E1","318793","86261","114206"
"12050113874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-05-01T00:00:00.000","13874A","2858768","426954","497789"
"120501209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-05-01T00:00:00.000","209742","409777","127375","35765"
"1205081170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-05-08T00:00:00.000","1170E1","326785","74427","111036"
"12050813874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-05-08T00:00:00.000","13874A","2867529","418535","529108"
"120508209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-05-08T00:00:00.000","209742","417971","96057","54388"
"1205151170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-05-15T00:00:00.000","1170E1","326566","72640","111615"
"12051513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-05-15T00:00:00.000","13874A","2967815","408713","481129"
"120515209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-05-15T00:00:00.000","209742","405222","116108","48124"
"1205221170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-05-22T00:00:00.000","1170E1","287635","70887","95349"
"12052213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-05-22T00:00:00.000","13874A","3000650","344174","519091"
"120522209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-05-22T00:00:00.000","209742","395117","95902","48736"
"1205291170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-05-29T00:00:00.000","1170E1","272588","62303","85934"
"12052913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-05-29T00:00:00.000","13874A","3040378","324205","543544"
"120529209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-05-29T00:00:00.000","209742","379569","81840","51573"
"1206051170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-06-05T00:00:00.000","1170E1","277015","66414","85618"
"12060513874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-06-05T00:00:00.000","13874A","3166379","318787","515182"
"120605209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-06-05T00:00:00.000","209742","382912","84112","60371"
"1206121170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-06-12T00:00:00.000","1170E1","307504","83955","97177"
"12061213874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-06-12T00:00:00.000","13874A","3420267","309900","514499"
"120612209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-06-12T00:00:00.000","209742","462707","75864","57214"
"1206191170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-06-19T00:00:00.000","1170E1","343374","102276","104942"
"12061913874AF","E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE","2012-06-19T00:00:00.000","13874A","2590421","284119","407885"
"120619209742F","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2012-06-19T00:00:00.000","209742","329850","77895","24326"
"1206261170E1F","VIX FUTURES - CBOE FUTURES EXCHANGE","2012-06-26T00:00:00.000","1170E1","309767","89191","113399"
