decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2009-10-02,2009-10-05,close,buy,5.568588733673096,5.574157322406768,1769.1286804166787,0.0,1769.1286804166787,9851.550038186268,1.0,9.851550038185602
2010-02-03,2010-02-04,open,sell,5.889195286027982,5.883306090741954,-1769.1286804166787,10408.325540801721,0.0,10408.325540801721,0.0,10.418744285086925
2010-02-03,2010-02-04,close,buy,5.749098300933838,5.754847399234771,1808.618859673973,0.0,1808.618859673973,10397.927613188534,1.0,10.397927613187736
2010-02-05,2010-02-08,open,sell,5.858063614630011,5.852205551015381,-1808.618859673973,10584.409330255134,0.0,10584.409330255134,0.0,10.595004334589571
2010-02-05,2010-02-08,close,buy,5.811064720153809,5.816875784873962,1819.6038082467792,0.0,1819.6038082467792,10573.835494760375,1.0,10.573835494759352
2010-02-11,2010-02-12,open,sell,5.930506997428003,5.924576490430574,-1819.6038082467792,10780.381944236811,0.0,10780.381944236811,0.0,10.79117311735462
2010-02-11,2010-02-12,close,buy,5.99846076965332,6.004459230422973,1795.395976646078,0.0,1795.395976646078,10769.612331904907,1.0,10.76961233190362
2010-05-11,2010-05-12,open,sell,7.760459833191414,7.752699373358222,-1795.395976646078,13919.165263073923,0.0,13919.165263073923,0.0,13.933098361435137
2010-05-11,2010-05-12,close,buy,7.845776557922363,7.853622334480285,1772.3242435485697,0.0,1772.3242435485697,13905.260003070853,1.0,13.905260003069543
2010-05-21,2010-05-24,open,sell,7.4024323942606856,7.395029961866425,-1772.3242435485697,13106.39088318392,0.0,13106.39088318392,0.0,13.119510393577611
2010-05-21,2010-05-24,close,buy,7.386865615844727,7.394252481460571,1772.510597392401,0.0,1772.510597392401,13093.297585598322,1.0,13.09329758559744
2010-05-25,2010-05-26,open,sell,7.486252564856077,7.478766312291221,-1772.510597392401,13256.192543957475,0.0,13256.192543957475,0.0,13.269462005963735
2010-05-25,2010-05-26,close,buy,7.30753755569458,7.314845093250274,1812.2314792680354,0.0,1812.2314792680354,13242.949594363112,1.0,13.242949594362301
2010-06-10,2010-06-11,open,sell,7.430871134687927,7.423440263553239,-1812.2314792680354,13452.99213007698,0.0,13452.99213007698,0.0,13.46645858866616
2010-06-10,2010-06-11,close,buy,7.588930606842041,7.5965195374488825,1770.9415560319694,0.0,1770.9415560319694,13439.552577499482,1.0,13.439552577498551
2010-07-07,2010-07-08,open,sell,7.857451869547959,7.849594417678412,-1770.9415560319694,13901.172952263267,0.0,13901.172952263267,0.0,13.915088040302864
2010-07-07,2010-07-08,close,buy,7.726035118103027,7.7337611532211294,1797.4660293812406,0.0,1797.4660293812406,13887.285666596672,1.0,13.887285666595012
2010-07-20,2010-07-21,open,sell,7.935583326268,7.927647742941732,-1797.4660293812406,14249.677510838628,0.0,14249.677510838628,0.0,14.263941452290885
2010-07-20,2010-07-21,close,buy,7.61078405380249,7.618394837856292,1870.4304271591527,0.0,1870.4304271591527,14235.44206876986,1.0,14.235442068768943
2010-08-12,2010-08-13,open,sell,7.533250467234256,7.525717216767022,-1870.4304271591527,14076.330468436532,0.0,14076.330468436532,0.0,14.09042088932552
2010-08-12,2010-08-13,close,buy,7.456915378570557,7.464372293949126,1885.802303811572,0.0,1885.802303811572,14062.268200236296,1.0,14.062268200234756
2010-08-25,2010-08-26,open,sell,7.3476510368321515,7.34030338579532,-1885.802303811572,13842.361035608697,0.0,13842.361035608697,0.0,13.856217252860839
2010-08-25,2010-08-26,close,buy,7.192884922027588,7.200077806949615,1922.5293679809763,0.0,1922.5293679809763,13828.532503105593,1.0,13.82853250310461
2010-11-22,2010-11-23,open,sell,9.29344982151076,9.28415637168925,-1922.5293679809763,17849.063281500286,0.0,17849.063281500286,0.0,17.86693021171274
2010-11-22,2010-11-23,close,buy,9.241960525512695,9.251202486038206,1929.377646682997,0.0,1929.377646682997,17831.23204945084,1.0,17.831232049447493
2011-03-11,2011-03-14,open,sell,10.572593394119318,10.562020800725199,-1929.377646682997,20378.126836720046,0.0,20378.126836720046,0.0,20.39852536208233
2011-03-11,2011-03-14,close,buy,10.583969116210938,10.594553085327147,1923.4531813279214,0.0,1923.4531813279214,20357.769067652396,1.0,20.35776906765051
2011-04-18,2011-04-19,open,sell,9.971492347983048,9.961520855635065,-1923.4531813279214,19160.518980635705,0.0,19160.518980635705,0.0,19.179698679314928
2011-04-18,2011-04-19,close,buy,10.113985061645508,10.124099046707153,1892.5653425790647,0.0,1892.5653425790647,19141.377603032674,1.0,19.141377603032055
2011-05-17,2011-05-18,open,sell,10.07237105739496,10.062298686337565,-1892.5653425790647,19043.557760441327,0.0,19043.557760441327,0.0,19.06262038082328
2011-05-17,2011-05-18,close,buy,10.174151420593262,10.184325572013854,1869.888941175674,0.0,1869.888941175674,19024.533227214113,1.0,19.024533227212945
2011-05-23,2011-05-24,open,sell,10.043338570263435,10.033295231693172,-1869.888941175674,18761.147797293685,0.0,18761.147797293685,0.0,18.779927725017817
2011-05-23,2011-05-24,close,buy,9.944252014160156,9.954196266174316,1884.7476275956667,0.0,1884.7476275956667,18742.405391901786,1.0,18.742405391900956
2011-06-21,2011-06-22,open,sell,9.733801966293306,9.724068164327013,-1884.7476275956667,18327.41440329389,0.0,18327.41440329389,0.0,18.345760163457037
