decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2008-06-10,2008-06-11,open,sell,5.518295547639424,5.515536399865605,-1143.809053442962,6308.72046876048,0.0,6308.72046876048,0.0,3.1559382034813233
2008-06-10,2008-06-11,close,buy,5.412623882293701,5.415330194234848,1164.9742938070026,0.0,1164.9742938070026,6305.567684918021,1.0,3.1527838424586796
2008-06-16,2008-06-17,open,sell,5.331499509178771,5.328833759424182,-1164.9742938070026,6207.954345700101,0.0,6207.954345700101,0.0,3.1055299378190253
2008-06-16,2008-06-17,close,buy,5.431184768676758,5.433900361061096,1142.4490574368672,0.0,1142.4490574368672,6204.851919740231,1.0,3.102425959869994
2008-07-01,2008-07-02,open,sell,5.2446844818116825,5.242062139570777,-1142.4490574368672,5988.788950378122,0.0,5988.788950378122,0.0,2.9958924213993905
2008-07-01,2008-07-02,close,buy,5.034538269042969,5.03705553817749,1188.946380477073,0.0,1188.946380477073,5985.796052351946,1.0,2.99289802617539
2008-07-22,2008-07-23,open,sell,4.939046542543856,4.936577019272585,-1188.946380477073,5869.325379010438,0.0,5869.325379010438,0.0,2.936130754881862
2008-07-22,2008-07-23,close,buy,4.977064609527588,4.979553141832351,1178.6851574498255,0.0,1178.6851574498255,5866.392182918979,1.0,2.9331960914590542
2008-09-11,2008-09-12,open,sell,4.517555340209445,4.515296562539341,-1178.6851574498255,5322.113039749339,0.0,5322.113039749339,0.0,2.6623877137314236
2008-09-11,2008-09-12,close,buy,4.458582401275635,4.460811692476272,1193.0817543196815,0.0,1193.0817543196815,5319.453313092793,1.0,2.6597266565461846
2008-09-16,2008-09-17,open,sell,4.145756709884997,4.143683831530054,-1193.0817543196815,4943.753575067976,0.0,4943.753575067976,0.0,2.47311334420625
2008-09-16,2008-09-17,close,buy,3.8266453742980957,3.8285586969852448,1291.2832129127023,0.0,1291.2832129127023,4941.2829336011755,1.0,2.470641466800597
2008-09-26,2008-09-29,open,sell,3.5808764999701865,3.5790860617202016,-1291.2832129127023,4621.613749069133,0.0,4621.613749069133,0.0,2.3119628559623324
2008-09-26,2008-09-29,close,buy,3.151003837585449,3.152579339504242,1465.978569090002,0.0,1465.978569090002,4619.304097020622,1.0,2.3096520485101757
2008-09-30,2008-10-01,open,sell,3.350372462204145,3.348697275973043,-1465.978569090002,4909.1184409465495,0.0,4909.1184409465495,0.0,2.455787114029808
2008-09-30,2008-10-01,close,buy,3.2665531635284424,3.2681864401102065,1502.092530798521,0.0,1502.092530798521,4906.665108392353,1.0,2.4533325541960753
2008-10-06,2008-10-07,open,sell,3.0079120048844,3.006408048881958,-1502.092530798521,4515.903074758144,0.0,4515.903074758144,0.0,2.2590810779179265
2008-10-06,2008-10-07,close,buy,2.66904354095459,2.670378062725067,1691.1100108985152,0.0,1691.1100108985152,4513.646251632328,1.0,2.2568231258156533
2008-10-08,2008-10-09,open,sell,2.7944727915869674,2.793075555191174,-1691.1100108985152,4723.398032579722,0.0,4723.398032579722,0.0,2.3628804565181096
2008-10-08,2008-10-09,close,buy,2.65647029876709,2.6577985339164734,1777.1843773348112,0.0,1777.1843773348112,4721.03751382281,1.0,2.360518756911355
2008-10-10,2008-10-13,open,sell,3.1297488954613892,3.128184021013659,-1777.1843773348112,5559.359771573865,0.0,5559.359771573865,0.0,2.7810704209968127
2008-10-10,2008-10-13,close,buy,3.3006796836853027,3.302330023527145,1683.465835324368,0.0,1683.465835324368,5556.581480833449,1.0,2.7782907404162582
2008-10-24,2008-10-27,open,sell,2.84595971047108,2.8445367306158444,-1683.465835324368,4788.680403317049,0.0,4788.680403317049,0.0,2.3955379706436597
2008-10-24,2008-10-27,close,buy,2.7567527294158936,2.7581311057806013,1736.2047776774432,0.0,1736.2047776774432,4786.287259687206,1.0,2.3931436298432143
2008-10-28,2008-10-29,open,sell,3.019286978250995,3.0177773347618695,-1736.2047776774432,5239.479426580258,0.0,5239.479426580258,0.0,2.621050238409378
2008-10-28,2008-10-29,close,buy,3.129748821258545,3.131313695669174,1673.252805628138,0.0,1673.252805628138,5236.860996082219,1.0,2.618430498040509
2008-11-13,2008-11-14,open,sell,2.8067456284506407,2.8053422556364156,-1673.252805628138,4694.046799990801,0.0,4694.046799990801,0.0,2.348197498744388
2008-11-13,2008-11-14,close,buy,2.7013731002807617,2.702723786830902,1736.7837671251043,0.0,1736.7837671251043,4691.700949516044,1.0,2.345850474757806
2008-11-24,2008-11-25,open,sell,2.8327889599513543,2.8313725654713786,-1736.7837671251043,4917.481910394052,0.0,4917.481910394052,0.0,2.459970940667326
2008-11-24,2008-11-25,close,buy,2.7181360721588135,2.719495140194893,1808.233387775659,0.0,1808.233387775659,4915.024398194954,1.0,2.457512199097329
2008-11-26,2008-11-28,open,sell,2.8348849453358684,2.8334675028632006,-1808.233387775659,5123.570541854562,0.0,5123.570541854562,0.0,2.5630668043292757
2008-11-26,2008-11-28,close,buy,2.774116039276123,2.775503097295761,1845.9970543165957,0.0,1845.9970543165957,5121.0100368361445,1.0,2.5605050184175675
2009-10-02,2009-10-05,open,sell,5.5739776345567735,5.571190645739495,-1845.9970543165957,10284.40152107128,0.0,10284.40152107128,0.0,5.144773147108915
