strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2024-05-30,2024-05-31,189.795911963,1021.97035623,1021.97035623,0,5.38457517685,1,1,1,0,189.795911963,189.795911963,0,0,0,0,False,0.00356475576605,3.63013417834,-0.0207891018642,2024-05-30,2024-05-31,189.795911963,1025.10478348,1025.10478348,0,5.40108990167,1,1,1,0,189.795911963,189.795911963,0,0,0,0,False,0.00356475576605,3.64126795678,-0.0177858197118,0
2024-05-31,2024-06-03,191.243347186,1029.76418,1029.76418,0,5.38457517685,1,1,1,0,191.243347186,191.243347186,0,0,0,0,False,0.00762627186264,7.79382377213,-0.0133213733442,2024-05-31,2024-06-03,191.243347186,1032.92251125,1032.92251125,0,5.40108990167,1,1,1,0,191.243347186,191.243347186,0,0,0,0,False,0.00762627186264,7.81772776654,-0.0102951873456,2.22044604925e-16
2024-06-03,2024-06-04,192.96844156,1039.05308034,1039.05308034,0,5.38457517685,1,1,1,0,192.96844156,192.96844156,0,0,0,0,False,0.00902041508437,9.28890034259,-0.00442112257688,2024-06-03,2024-06-04,192.96844156,1042.23990105,1042.23990105,0,5.40108990167,1,1,1,0,192.96844156,192.96844156,0,0,0,0,False,0.00902041508437,9.31738980147,-0.00136763912443,0
2024-06-04,2024-06-05,193.721886132,1043.11005928,1043.11005928,0,5.38457517685,1,1,1,0,193.721886132,193.721886132,0,0,0,0,False,0.00390449633146,4.05697894038,-0.000533888502303,2024-06-04,2024-06-05,193.721886132,1046.30932292,1046.30932292,0,5.40108990167,1,1,1,0,193.721886132,193.721886132,0,0,0,0,False,0.00390449633146,4.06942187016,0,0
2024-06-05,2024-06-06,194.00942971,1044.65835929,1044.65835929,0,5.38457517685,1,1,1,0,194.00942971,194.00942971,0,0,0,0,False,0.00148431126312,1.54830000966,0,2024-06-05,2024-06-06,194.00942971,1047.86237163,1047.86237163,0,5.40108990167,1,1,1,0,194.00942971,194.00942971,0,0,0,0,False,0.00148431126312,1.55304871272,0,2.22044604925e-16
2024-06-06,2024-06-07,192.978328483,1039.10631722,1039.10631722,0,5.38457517685,1,1,1,0,192.978328483,192.978328483,0,0,0,0,False,-0.0053146964453,-5.55204206867,-0.0053146964453,2024-06-06,2024-06-07,192.978328483,1042.29330121,1042.29330121,0,5.40108990167,1,1,1,0,192.978328483,192.978328483,0,0,0,0,False,-0.0053146964453,-5.56907042169,-0.0053146964453,-1.11022302463e-16
2024-06-07,2024-06-10,195.20900753,1051.11757625,1051.11757625,0,5.38457517685,1,1,1,0,195.20900753,195.20900753,0,0,0,0,False,0.0115592204815,12.0112590244,0,2024-06-07,2024-06-10,195.20900753,1054.34139929,1054.34139929,0,5.40108990167,1,1,1,0,195.20900753,195.20900753,0,0,0,0,False,0.0115592204815,12.0480980751,0,-2.22044604925e-16
2024-06-10,2024-06-11,191.986925122,1033.76803129,1033.76803129,0,5.38457517685,1,1,1,0,191.986925122,191.986925122,0,0,0,0,False,-0.0165058080544,-17.3495449561,-0.0165058080544,2024-06-10,2024-06-11,191.986925122,1036.93864253,1036.93864253,0,5.40108990167,1,1,1,0,191.986925122,191.986925122,0,0,0,0,False,-0.0165058080544,-17.4027567605,-0.0165058080544,2.22044604925e-16
2024-06-11,2024-06-12,205.589082836,1107.00987207,1107.00987207,0,5.38457517685,1,1,1,0,205.589082836,205.589082836,0,0,0,0,False,0.0708493961532,73.2418407794,0,2024-06-11,2024-06-12,205.589082836,1110.4051192,1110.4051192,0,5.40108990167,1,1,1,0,205.589082836,205.589082836,0,0,0,0,False,0.0708493961532,73.4664766711,0,-2.22044604925e-16
2024-06-12,2024-06-13,212.895791386,1146.35339356,1146.35339356,0,5.38457517685,1,1,1,0,212.895791386,212.895791386,0,0,0,0,False,0.0355403528723,39.3435214864,0,2024-06-12,2024-06-13,212.895791386,1149.86930897,1149.86930897,0,5.40108990167,1,1,1,0,212.895791386,212.895791386,0,0,0,0,False,0.0355403528723,39.4641897675,0,0
