strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-07-17,2025-07-18,210.036747409,946.051063507,946.051063507,0,4.50421688194,1,1,1,0,210.036747409,210.036747409,0,0,0,0,False,0.00142467521717,1.34589803678,-0.0539489364925,2025-07-17,2025-07-18,210.036747409,847.454210042,847.454210042,0,4.0347901998,1,1,1,0,210.036747409,210.036747409,0,0,0,0,False,0.00142467521717,1.20562938044,-0.152545789958,-2.22044604925e-16
2025-07-18,2025-07-21,211.261877533,951.569315296,951.569315296,0,4.50421688194,1,1,1,0,211.261877533,211.261877533,0,0,0,0,False,0.00583293228177,5.51825178854,-0.048430684704,2025-07-18,2025-07-21,211.261877533,852.397353061,852.397353061,0,4.0347901998,1,1,1,0,211.261877533,211.261877533,0,0,0,0,False,0.00583293228177,4.94314301908,-0.147602646939,0
2025-07-21,2025-07-22,212.297779753,956.235243565,956.235243565,0,4.50421688194,1,1,1,0,212.297779753,212.297779753,0,0,0,0,False,0.0049034034555,4.66592826877,-0.0437647564352,2025-07-21,2025-07-22,212.297779753,856.577001188,856.577001188,0,4.0347901998,1,1,1,0,212.297779753,212.297779753,0,0,0,0,False,0.0049034034555,4.17964812646,-0.143422998812,0
2025-07-22,2025-07-23,214.150419244,964.579933636,964.579933636,0,4.50421688194,1,1,1,0,214.150419244,214.150419244,0,0,0,0,False,0.00872660794244,8.34469007133,-0.0354200663639,2025-07-22,2025-07-23,214.150419244,864.05201285,864.05201285,0,4.0347901998,1,1,1,0,214.150419244,214.150419244,0,0,0,0,False,0.00872660794244,7.47501166187,-0.13594798715,2.22044604925e-16
2025-07-23,2025-07-24,213.054759897,959.644846309,959.644846309,0,4.50421688194,1,1,1,0,213.054759897,213.054759897,0,0,0,0,False,-0.00511630727069,-4.93508732762,-0.0403551536915,2025-07-23,2025-07-24,213.054759897,859.631257254,859.631257254,0,4.0347901998,1,1,1,0,213.054759897,213.054759897,0,0,0,0,False,-0.00511630727069,-4.4207555956,-0.140368742746,0
2025-07-24,2025-07-25,213.851602914,963.234000077,963.234000077,0,4.50421688194,1,1,1,0,213.851602914,213.851602914,0,0,0,0,False,0.00374008549376,3.58915376884,-0.0367659999227,2025-07-24,2025-07-25,213.851602914,862.846351649,862.846351649,0,4.0347901998,1,1,1,0,213.851602914,213.851602914,0,0,0,0,False,0.00374008549376,3.21509439524,-0.137153648351,0
2025-07-25,2025-07-28,213.184252631,960.228109667,960.228109667,0,4.50421688194,1,1,1,0,213.184252631,213.184252631,0,0,0,0,False,-0.00312062324389,-3.00589040995,-0.0397718903326,2025-07-25,2025-07-28,213.184252631,860.153733268,860.153733268,0,4.0347901998,1,1,1,0,213.184252631,213.184252631,0,0,0,0,False,-0.00312062324389,-2.69261838086,-0.139846266732,0
2025-07-28,2025-07-29,213.333639445,960.900980277,960.900980277,0,4.50421688194,1,1,1,0,213.333639445,213.333639445,0,0,0,0,False,0.000700740378929,0.672870609426,-0.0390990197232,2025-07-28,2025-07-29,213.333639445,860.756477721,860.756477721,0,4.0347901998,1,1,1,0,213.333639445,213.333639445,0,0,0,0,False,0.000700740378929,0.602744452988,-0.139243522279,-2.22044604925e-16
2025-07-29,2025-07-30,211.062651573,950.671958364,950.671958364,0,4.50421688194,1,1,1,0,211.062651573,211.062651573,0,0,0,0,False,-0.0106452403765,-10.2290219131,-0.0493280416363,2025-07-29,2025-07-30,211.062651573,851.59351811,851.59351811,0,4.0347901998,1,1,1,0,211.062651573,211.062651573,0,0,0,0,False,-0.0106452403765,-9.16295961099,-0.14840648189,0
2025-07-30,2025-07-31,207.666164464,935.373443787,935.373443787,0,4.50421688194,1,1,1,0,207.666164464,207.666164464,0,0,0,0,False,-0.0160923170633,-15.2985145772,-0.0646265562135,2025-07-30,2025-07-31,207.666164464,837.889405208,837.889405208,0,4.0347901998,1,1,1,0,207.666164464,207.666164464,0,0,0,0,False,-0.0160923170633,-13.7041129025,-0.162110594792,0
