strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2025-04-03,2025-04-04,192.870926934,790.75804837,790.75804837,0,4.09993388293,1,1,1,0,192.870926934,192.870926934,0,0,0,0,False,-0.0566799615918,-47.5131810893,-0.20924195163,2025-04-03,2025-04-04,192.870926934,778.971142129,778.971142129,0,4.03882095924,1,1,1,0,192.870926934,192.870926934,0,0,0,0,False,-0.0566799615918,-46.804957617,-0.221028857871,1.11022302463e-16
2025-04-04,2025-04-07,176.268636874,722.68975682,722.68975682,0,4.09993388293,1,1,1,0,176.268636874,176.268636874,0,0,0,0,False,-0.0860797960769,-68.0682915499,-0.27731024318,2025-04-04,2025-04-07,176.268636874,711.917465065,711.917465065,0,4.03882095924,1,1,1,0,176.268636874,176.268636874,0,0,0,0,False,-0.0860797960769,-67.0536770643,-0.288082534935,-1.11022302463e-16
2025-04-07,2025-04-08,185.718690406,761.434351489,761.434351489,0,4.09993388293,1,1,1,0,185.718690406,185.718690406,0,0,0,0,False,0.0536116560439,38.7445946691,-0.238565648511,2025-04-07,2025-04-08,185.718690406,750.084539333,750.084539333,0,4.03882095924,1,1,1,0,185.718690406,185.718690406,0,0,0,0,False,0.0536116560439,38.1670742687,-0.249915460667,0
2025-04-08,2025-04-09,171.04623198,701.278242043,701.278242043,0,4.09993388293,1,1,1,0,171.04623198,171.04623198,0,0,0,0,False,-0.079003671595,-60.1561094462,-0.298721757957,2025-04-08,2025-04-09,171.04623198,690.825106719,690.825106719,0,4.03882095924,1,1,1,0,171.04623198,171.04623198,0,0,0,0,False,-0.079003671595,-59.259432614,-0.309174893281,0
2025-04-09,2025-04-10,188.076263584,771.100245644,770.329145398,770.329145398,0,1,0,0,-4.09993388293,188.076263584,187.88818732,1,0,0.771100245644,0,True,0.0984643458407,69.050903355,-0.229670854602,2025-04-09,2025-04-10,188.076263584,759.606355298,759.606355298,0,4.03882095924,1,1,1,0,188.076263584,188.076263584,0,0,0,0,False,0.0995639097504,68.7812485787,-0.240393644702,-0.00109956390975
2025-04-10,2025-04-11,185.12186727,770.329145398,769.559585812,0,4.15704312604,0,1,1,4.15704312604,185.12186727,185.306989137,0.999000999001,0,0.769559585812,0,True,-0.000999000999001,-0.769559585812,-0.230440414188,2025-04-10,2025-04-11,185.12186727,747.674077541,747.674077541,0,4.03882095924,1,1,1,0,185.12186727,185.12186727,0,0,0,0,False,-0.015708501744,-11.9322777569,-0.252325922459,0.014709500745
2025-04-11,2025-04-14,210.328665454,874.345332936,873.470987603,873.470987603,0,1,0,0,-4.15704312604,210.328665454,210.118336789,1,0,0.874345332936,0,True,0.135027103433,103.911401791,-0.126529012397,2025-04-11,2025-04-14,210.328665454,849.479822366,849.479822366,0,4.03882095924,1,1,1,0,210.328665454,210.328665454,0,0,0,0,False,0.1361632667,101.805744825,-0.150520177634,-0.0011361632667
2025-04-14,2025-04-15,200.799018069,873.470987603,872.598389214,0,4.34563075858,0,1,1,4.34563075858,200.799018069,200.999817087,0.999000999001,0,0.872598389214,0,True,-0.000999000999001,-0.872598389214,-0.127401610786,2025-04-14,2025-04-15,200.799018069,810.991282772,810.991282772,0,4.03882095924,1,1,1,0,200.799018069,200.799018069,0,0,0,0,False,-0.0453083623419,-38.4885395938,-0.189008717228,0.0443093613429
2025-04-15,2025-04-16,197.317431428,857.468699219,857.468699219,0,4.34563075858,1,1,1,0,197.317431428,197.317431428,0,0,0,0,False,-0.0173386636763,-15.129689995,-0.142531300781,2025-04-15,2025-04-16,197.317431428,796.929777675,796.929777675,0,4.03882095924,1,1,1,0,197.317431428,197.317431428,0,0,0,0,False,-0.0173386636763,-14.0615050964,-0.203070222325,-1.11022302463e-16
2025-04-16,2025-04-17,196.163501252,852.454144753,852.454144753,0,4.34563075858,1,1,1,0,196.163501252,196.163501252,0,0,0,0,False,-0.00584809039715,-5.01455446576,-0.147545855247,2025-04-16,2025-04-17,196.163501252,792.269260295,792.269260295,0,4.03882095924,1,1,1,0,196.163501252,196.163501252,0,0,0,0,False,-0.00584809039715,-4.66051738003,-0.207730739705,0
